surah,verse,word_position,madani1,madani2,makki,basari,shami,kufi
1,1,4,-1,-1,1,-1,-1,1
1,6,3,1,1,-1,1,1,-1
2,1,1,-1,-1,-1,-1,-1,1
2,11,10,1,1,1,1,-1,1
2,13,14,1,-1,1,1,1,1
2,29,4,-1,1,1,1,-1,-1
2,97,4,-1,-1,-1,1,-1,-1
2,114,21,-1,-1,-1,1,-1,-1
2,178,37,-1,-1,-1,-1,1,-1
2,197,28,-1,1,-1,1,1,1
2,215,3,1,-1,1,-1,-1,-1
2,219,26,-1,1,-1,-1,1,1
2,257,9,1,-1,-1,-1,-1,-1
3,1,1,-1,-1,-1,-1,-1,1
3,3,10,1,1,1,1,1,-1
3,14,8,-1,-1,-1,-1,1,1
3,17,2,1,1,1,1,-1,1
3,49,4,-1,-1,-1,1,-1,-1
3,92,7,1,1,1,-1,1,-1
3,95,6,-1,-1,-1,-1,1,-1
4,138,6,-1,-1,-1,-1,1,-1
4,176,47,-1,-1,-1,-1,1,1
5,12,29,1,1,1,1,1,-1
5,17,14,-1,-1,-1,1,-1,-1
5,59,11,1,1,1,1,1,-1
6,1,9,1,1,1,-1,-1,-1
6,73,10,1,1,1,1,1,-1
6,102,16,-1,-1,-1,-1,-1,1
6,161,6,1,1,1,1,1,-1
7,1,1,-1,-1,-1,-1,-1,1
7,29,15,-1,-1,-1,-1,-1,1
7,36,8,1,1,1,-1,-1,-1
7,99,8,-1,-1,-1,1,1,-1
7,137,18,1,1,1,-1,-1,-1
8,7,12,1,1,1,-1,1,1
8,42,18,1,1,1,1,1,-1
8,56,5,-1,-1,-1,1,1,-1
9,28,27,-1,-1,-1,1,-1,-1
9,70,10,1,1,1,-1,-1,-1
9,85,12,-1,-1,-1,-1,1,-1
10,22,34,-1,-1,-1,-1,1,-1
10,22,41,1,1,1,1,-1,1
10,57,11,-1,-1,-1,-1,1,-1
11,7,20,-1,-1,-1,-1,-1,1
11,13,18,1,1,1,-1,-1,-1
11,74,10,1,1,1,-1,1,1
11,82,11,-1,1,1,-1,-1,-1
11,82,12,1,-1,-1,1,1,1
11,118,10,-1,-1,-1,1,1,1
11,121,9,1,-1,-1,1,1,1
13,13,18,1,1,1,1,1,-1
13,16,28,-1,-1,-1,-1,1,-1
13,16,28,1,1,1,1,1,-1
13,23,15,-1,-1,-1,1,1,1
13,34,12,-1,-1,-1,-1,1,-1
14,1,10,1,1,1,-1,1,-1
14,1,10,1,1,1,-1,1,-1
14,9,9,1,1,1,1,-1,-1
14,14,10,1,-1,-1,-1,1,1
14,21,4,-1,1,1,1,1,1
14,33,8,1,1,1,-1,1,1
14,42,7,-1,-1,-1,-1,1,-1
17,107,18,-1,-1,-1,-1,-1,1
18,5,7,-1,1,-1,1,1,1
18,5,16,-1,-1,-1,1,-1,1
18,11,3,1,1,1,1,-1,1
18,22,18,-1,-1,-1,1,-1,1
18,22,22,-1,1,-1,-1,-1,-1
18,23,5,1,-1,1,1,1,1
18,30,12,-1,-1,-1,1,1,1
18,35,11,1,-1,1,1,-1,1
18,45,22,-1,1,-1,1,1,1
18,86,12,1,-1,1,1,1,-1
18,89,3,-1,-1,-1,1,-1,1
19,1,1,-1,-1,-1,-1,-1,1
