surah,verse,word_position,madani1,madani2,makki,basari,dimashqi,kufi,himsi,surah_name,last_3_words
1,1,4,-1,-1,1,-1,-1,1,-1,الفاتحة,ٱللَّهِ ٱلرَّحۡمَٰنِ ٱلرَّحِیمِ
1,7,4,1,1,-1,1,1,-1,1,الفاتحة,ٱلَّذِینَ أَنۡعَمۡتَ عَلَیۡهِمۡ
2,1,1,-1,-1,-1,-1,-1,1,-1,البقرة,الٓمٓ
2,10,9,-1,-1,-1,-1,1,-1,1,البقرة,وَلَهُمۡ عَذَابٌ أَلِیمُۢ
2,11,11,1,1,1,1,-1,1,-1,البقرة,إِنَّمَا نَحۡنُ مُصۡلِحُونَ
2,114,21,-1,-1,-1,1,-1,-1,-1,البقرة,یَدۡخُلُوهَآ إِلَّا خَآىِٕفِینَ
2,197,29,-1,1,-1,1,-1,1,-1,البقرة,وَٱتَّقُونِ یَٰٓأُو۟لِی ٱلۡأَلۡبَٰبِ
2,200,24,1,-1,1,1,1,1,1,البقرة,ٱلۡـَٔاخِرَةِ مِنۡ خَلَٰقࣲ
2,219,17,1,-1,1,-1,-1,-1,-1,البقرة,وَیَسۡـَٔلُونَكَ مَاذَا یُنفِقُونَ
2,219,26,-1,1,-1,-1,1,1,1,البقرة,ٱلۡـَٔایَٰتِ لَعَلَّكُمۡ تَتَفَكَّرُونَ
2,235,26,-1,-1,-1,1,-1,-1,-1,البقرة,تَقُولُوا۟ قَوۡلࣰا مَّعۡرُوفࣰا
2,255,7,-1,1,1,1,-1,-1,-1,البقرة,هُوَ ٱلۡحَیُّ ٱلۡقَیُّومُ
2,257,9,1,-1,-1,-1,-1,-1,-1,البقرة,ٱلظُّلُمَٰتِ إِلَى ٱلنُّورِ
3,1,1,-1,-1,-1,-1,-1,1,-1,آل عمران,الٓمٓ
3,3,11,1,1,1,1,-1,1,-1,آل عمران,وَأَنزَلَ ٱلتَّوۡرَىٰةَ وَٱلۡإِنجِیلَ
3,4,6,1,1,1,1,1,-1,-1,آل عمران,لِّلنَّاسِ وَأَنزَلَ ٱلۡفُرۡقَانَ
3,48,5,-1,-1,-1,-1,1,1,-1,آل عمران,وَٱلۡحِكۡمَةَ وَٱلتَّوۡرَىٰةَ وَٱلۡإِنجِیلَ
3,49,4,-1,-1,-1,1,-1,-1,1,آل عمران,إِلَىٰ بَنِیٓ إِسۡرَٰٓءِیلَ
3,92,7,1,1,1,-1,1,-1,-1,آل عمران,تُنفِقُوا۟ مِمَّا تُحِبُّونَ
3,97,5,-1,-1,-1,-1,1,-1,-1,آل عمران,بَیِّنَٰتࣱ مَّقَامُ إِبۡرَٰهِیمَ
4,44,14,-1,-1,-1,-1,1,1,1,النساء,أَن تَضِلُّوا۟ ٱلسَّبِیلَ
4,173,17,-1,-1,-1,-1,1,-1,1,النساء,فَیُعَذِّبُهُمۡ عَذَابًا أَلِیمࣰا
5,1,5,1,1,1,1,1,-1,1,المائدة,ءَامَنُوٓا۟ أَوۡفُوا۟ بِٱلۡعُقُودِ
5,15,16,1,1,1,1,1,-1,1,المائدة,وَیَعۡفُوا۟ عَن كَثِیرࣲ
5,23,15,-1,-1,-1,1,-1,-1,-1,المائدة,دَخَلۡتُمُوهُ فَإِنَّكُمۡ غَٰلِبُونَ
6,1,9,1,1,1,-1,-1,-1,-1,الأنعام,وَجَعَلَ ٱلظُّلُمَٰتِ وَٱلنُّورَ
6,66,9,-1,-1,-1,-1,-1,1,-1,الأنعام,لَّسۡتُ عَلَیۡكُم بِوَكِیلࣲ
6,73,10,1,1,1,1,1,-1,1,الأنعام,یَقُولُ كُن فَیَكُونُ
6,161,7,1,1,1,1,1,-1,1,الأنعام,إِلَىٰ صِرَٰطࣲ مُّسۡتَقِیمࣲ
7,1,1,-1,-1,-1,-1,-1,1,-1,الأعراف,الٓمٓصٓ
7,29,13,-1,-1,-1,1,1,-1,1,الأعراف,مُخۡلِصِینَ لَهُ ٱلدِّینَ
7,29,16,-1,-1,-1,-1,-1,1,-1,الأعراف,كَمَا بَدَأَكُمۡ تَعُودُونَ
7,38,34,1,1,1,-1,-1,-1,-1,الأعراف,ضِعۡفࣰا مِّنَ ٱلنَّارِ
7,137,18,1,1,1,-1,-1,-1,-1,الأعراف,عَلَىٰ بَنِیٓ إِسۡرَٰٓءِیلَ
8,36,16,-1,-1,-1,1,1,-1,1,الأنفال,حَسۡرَةࣰ ثُمَّ یُغۡلَبُونَ
8,42,21,1,1,1,1,1,-1,1,الأنفال,أَمۡرࣰا كَانَ مَفۡعُولࣰا
8,62,12,1,1,1,-1,1,1,1,الأنفال,أَیَّدَكَ بِنَصۡرِهِۦ وَبِٱلۡمُؤۡمِنِینَ
9,3,14,-1,-1,-1,1,-1,-1,-1,التوبة,بَرِیٓءࣱ مِّنَ ٱلۡمُشۡرِكِینَ
9,39,5,-1,-1,-1,-1,1,-1,-1,التوبة,یُعَذِّبۡكُمۡ عَذَابًا أَلِیمࣰا
9,36,21,-1,-1,-1,-1,-1,-1,1,التوبة,ذلك الدین القیم
9,70,10,-1,1,1,-1,-1,-1,-1,التوبة,نُوحࣲ وَعَادࣲ وَثَمُودَ
10,22,34,-1,-1,-1,-1,1,-1,-1,يونس,مُخۡلِصِینَ لَهُ ٱلدِّینَ
10,22,41,1,1,1,1,-1,1,1,يونس,لَنَكُونَنَّ مِنَ ٱلشَّٰكِرِینَ
10,57,11,-1,-1,-1,-1,1,-1,1,يونس,لِّمَا فِی ٱلصُّدُورِ
11,54,16,-1,-1,-1,-1,-1,1,1,هود,بَرِیٓءࣱ مِّمَّا تُشۡرِكُونَ
11,74,11,1,1,1,-1,1,1,-1,هود,فِی قَوۡمِ لُوطٍ
11,82,11,-1,1,1,-1,-1,-1,-1,هود,حِجَارَةࣰ مِّن سِجِّیلࣲ
11,82,12,1,-1,-1,1,1,1,1,هود,مِّن سِجِّیلࣲ مَّنضُودࣲ
11,86,7,1,1,1,-1,-1,-1,1,هود,إِن كُنتُم مُّؤۡمِنِینَ
11,118,10,-1,-1,-1,1,1,1,1,هود,وَلَا یَزَالُونَ مُخۡتَلِفِینَ
11,121,9,1,-1,-1,1,1,1,1,هود,مَكَانَتِكُمۡ إِنَّا عَٰمِلُونَ
13,5,11,1,1,1,1,1,-1,1,الرعد,لَفِی خَلۡقࣲ جَدِیدٍ
13,16,23,-1,-1,-1,-1,1,-1,1,الرعد,یَسۡتَوِی ٱلۡأَعۡمَىٰ وَٱلۡبَصِیرُ
13,16,28,1,1,1,1,1,-1,1,الرعد,تَسۡتَوِی ٱلظُّلُمَٰتُ وَٱلنُّورُ
13,17,27,-1,-1,-1,-1,-1,-1,1,الرعد,الحق والباطل
13,18,23,-1,-1,-1,-1,1,-1,1,الرعد,لَهُمۡ سُوٓءُ ٱلۡحِسَابِ
13,23,15,-1,-1,-1,1,1,1,1,الرعد,مِّن كُلِّ بَابࣲ
14,1,10,1,1,1,-1,1,-1,1,إبراهيم,ٱلظُّلُمَٰتِ إِلَى ٱلنُّورِ
14,5,11,1,1,1,-1,1,-1,1,إبراهيم,ٱلظُّلُمَٰتِ إِلَى ٱلنُّورِ
14,9,10,1,1,1,1,-1,-1,-1,إبراهيم,نُوحࣲ وَعَادࣲ وَثَمُودَ
14,19,14,1,-1,-1,-1,1,1,-1,إبراهيم,وَیَأۡتِ بِخَلۡقࣲ جَدِیدࣲ
14,24,15,-1,1,1,1,1,1,1,إبراهيم,وَفَرۡعُهَا فِی ٱلسَّمَآءِ
14,33,9,1,1,1,-1,1,1,1,إبراهيم,لَكُمُ ٱلَّیۡلَ وَٱلنَّهَارَ
14,42,7,-1,-1,-1,-1,1,-1,1,إبراهيم,عَمَّا یَعۡمَلُ ٱلظَّٰلِمُونَ
17,107,18,-1,-1,-1,-1,-1,1,-1,الإسراء,یَخِرُّونَ لِلۡأَذۡقَانِ سُجَّدࣰا
18,13,11,1,1,1,1,-1,1,-1,الكهف,بِرَبِّهِمۡ وَزِدۡنَٰهُمۡ هُدࣰى
18,22,22,-1,1,-1,-1,-1,-1,-1,الكهف,یَعۡلَمُهُمۡ إِلَّا قَلِیلࣱ
18,23,7,1,-1,1,1,1,1,1,الكهف,فَاعِلࣱ ذَٰلِكَ غَدًا
